title,category,clicked
"NVIDIA launches AI chip","AI",1
"OpenAI releases GPT update","AI",1
"Startup raises $50M funding","Startups",1
"Stock market reaches all-time high","Finance",1
"Tesla launches robotaxi","Technology",1
"New machine learning breakthrough","AI",1
"Cricket match highlights","Sports",0
"Football team wins championship","Sports",0
"Celebrity wedding goes viral","Entertainment",0
"Movie trailer breaks records","Entertainment",0
"Reality show controversy trends online","Entertainment",0
"Basketball finals results announced","Sports",0
